date, value
1/1/1967,89.39
2/1/1967,87.975
3/1/1967,87.084
4/1/1967,87.509
5/1/1967,86.35700000000001
6/1/1967,85.96
7/1/1967,85.383
8/1/1967,86.634
9/1/1967,86.11200000000002
10/1/1967,86.43299999999998
11/1/1967,87.286
12/1/1967,87.84200000000001
1/1/1968,87.384
2/1/1968,87.348
3/1/1968,87.273
4/1/1968,87.055
5/1/1968,87.685
6/1/1968,87.662
7/1/1968,87.186
8/1/1968,87.089
9/1/1968,87.081
10/1/1968,86.917
11/1/1968,87.70299999999997
12/1/1968,87.64200000000002
1/1/1969,87.845
2/1/1969,88.088
3/1/1969,88.46
4/1/1969,87.818
5/1/1969,87.17399999999998
6/1/1969,87.712
7/1/1969,87.86200000000002
8/1/1969,87.75299999999999
9/1/1969,87.42399999999998
10/1/1969,87.14299999999999
11/1/1969,86.01899999999998
12/1/1969,85.48899999999998
1/1/1970,83.62799999999999
2/1/1970,83.311
3/1/1970,82.94200000000002
4/1/1970,82.47
5/1/1970,82.117
6/1/1970,81.598
7/1/1970,81.545
8/1/1970,81.148
9/1/1970,80.34
10/1/1970,78.492
11/1/1970,77.778
12/1/1970,79.321
1/1/1971,79.707
2/1/1971,79.352
3/1/1971,79.063
4/1/1971,79.305
5/1/1971,79.505
6/1/1971,79.63600000000002
7/1/1971,79.204
8/1/1971,78.545
9/1/1971,79.62100000000002
10/1/1971,80.016
11/1/1971,80.154
12/1/1971,80.877
1/1/1972,82.613
2/1/1972,83.2
3/1/1972,83.605
4/1/1972,84.277
5/1/1972,84.023
6/1/1972,84.054
7/1/1972,83.81299999999997
8/1/1972,84.695
9/1/1972,85.09899999999998
10/1/1972,85.994
11/1/1972,86.734
12/1/1972,87.463
1/1/1973,87.76
2/1/1973,88.78
3/1/1973,88.516
4/1/1973,88.09200000000001
5/1/1973,88.34899999999998
6/1/1973,88.109
7/1/1973,88.178
8/1/1973,87.73100000000002
9/1/1973,88.23200000000001
10/1/1973,88.537
11/1/1973,88.728
12/1/1973,88.259
1/1/1974,87.395
2/1/1974,86.887
3/1/1974,86.678
4/1/1974,86.2
5/1/1974,86.649
6/1/1974,86.352
7/1/1974,86.20700000000002
8/1/1974,85.189
9/1/1974,85.073
10/1/1974,84.584
11/1/1974,81.657
12/1/1974,78.641
1/1/1975,77.43
2/1/1975,75.502
3/1/1975,74.574
4/1/1975,74.51899999999998
5/1/1975,74.225
6/1/1975,74.582
7/1/1975,75.163
8/1/1975,75.812
9/1/1975,76.611
10/1/1975,76.80199999999998
11/1/1975,76.818
12/1/1975,77.616
1/1/1976,78.582
2/1/1976,79.18
3/1/1976,79.09899999999998
4/1/1976,79.37899999999998
5/1/1976,79.554
6/1/1976,79.396
7/1/1976,79.681
8/1/1976,80.061
9/1/1976,80.111
10/1/1976,79.957
11/1/1976,80.944
12/1/1976,81.596
1/1/1977,80.96600000000002
2/1/1977,81.991
3/1/1977,82.83
4/1/1977,83.37100000000002
5/1/1977,83.883
6/1/1977,84.271
7/1/1977,84.17399999999998
8/1/1977,83.96600000000002
9/1/1977,84.12899999999998
10/1/1977,84.057
11/1/1977,83.899
12/1/1977,83.787
1/1/1978,82.39
2/1/1978,82.554
3/1/1978,83.87899999999998
4/1/1978,85.39
5/1/1978,85.449
6/1/1978,85.79700000000003
7/1/1978,85.521
8/1/1978,85.609
9/1/1978,85.59100000000002
10/1/1978,86.053
11/1/1978,86.471
12/1/1978,86.72
1/1/1979,85.941
2/1/1979,86.182
3/1/1979,86.241
4/1/1979,85.10600000000002
5/1/1979,85.54299999999998
6/1/1979,85.339
7/1/1979,85.031
8/1/1979,84.273
9/1/1979,84.18700000000003
10/1/1979,84.459
11/1/1979,84.205
12/1/1979,84.10700000000001
1/1/1980,84.34
2/1/1980,84.204
3/1/1980,83.76100000000002
4/1/1980,81.893
5/1/1980,79.757
6/1/1980,78.61
7/1/1980,77.83800000000002
8/1/1980,77.962
9/1/1980,79.058
10/1/1980,79.866
11/1/1980,81.071
12/1/1980,81.334
1/1/1981,80.675
2/1/1981,80.095
3/1/1981,80.331
4/1/1981,79.785
5/1/1981,80.033
6/1/1981,80.206
7/1/1981,80.507
8/1/1981,80.293
9/1/1981,79.616
10/1/1981,78.85600000000002
11/1/1981,77.778
12/1/1981,76.74
1/1/1982,75.042
2/1/1982,76.372
3/1/1982,75.653
4/1/1982,74.84
5/1/1982,74.247
6/1/1982,73.895
7/1/1982,73.558
8/1/1982,72.827
9/1/1982,72.524
10/1/1982,71.797
11/1/1982,71.462
12/1/1982,70.893
1/1/1983,72.21300000000002
2/1/1983,71.725
3/1/1983,72.283
4/1/1983,73.12
5/1/1983,73.60600000000002
6/1/1983,74.025
7/1/1983,75.118
8/1/1983,75.90899999999998
9/1/1983,77.003
10/1/1983,77.59100000000002
11/1/1983,77.801
12/1/1983,78.137
1/1/1984,79.59100000000002
2/1/1984,79.848
3/1/1984,80.12100000000002
4/1/1984,80.501
5/1/1984,80.733
6/1/1984,80.87100000000002
7/1/1984,80.96
8/1/1984,80.858
9/1/1984,80.529
10/1/1984,80.211
11/1/1984,80.32300000000002
12/1/1984,80.21600000000002
1/1/1985,79.878
2/1/1985,79.957
3/1/1985,79.875
4/1/1985,79.462
5/1/1985,79.39
6/1/1985,79.252
7/1/1985,78.563
8/1/1985,78.72399999999998
9/1/1985,78.914
10/1/1985,78.45100000000002
11/1/1985,78.59
12/1/1985,79.304
1/1/1986,79.562
2/1/1986,78.94
3/1/1986,78.317
4/1/1986,78.304
5/1/1986,78.391
6/1/1986,78.051
7/1/1986,78.40899999999998
8/1/1986,78.223
9/1/1986,78.292
10/1/1986,78.547
11/1/1986,78.805
12/1/1986,79.336
1/1/1987,78.954
2/1/1987,79.828
3/1/1987,79.808
4/1/1987,80.167
5/1/1987,80.514
6/1/1987,80.734
7/1/1987,81.137
8/1/1987,81.661
9/1/1987,81.742
10/1/1987,82.796
11/1/1987,83.133
12/1/1987,83.444
1/1/1988,83.399
2/1/1988,83.696
3/1/1988,83.846
4/1/1988,84.26799999999999
5/1/1988,84.14200000000002
6/1/1988,84.32799999999997
7/1/1988,84.336
8/1/1988,84.656
9/1/1988,84.366
10/1/1988,84.72200000000002
11/1/1988,84.77799999999998
